replicate,and_truth_auroc,and_TT_vs_mixed_auroc,and_mixed_vs_FF_auroc,and_total_range,and_pooled_sd,and_range_over_sd,dprime_AND_TT_mixed,dprime_AND_mixed_FF,or_truth_auroc,or_TT_vs_mixed_auroc,or_mixed_vs_FF_auroc,or_total_range,or_pooled_sd,or_range_over_sd,dprime_OR_TT_mixed,dprime_OR_mixed_FF,and_minus_or_auroc,OR_to_AND_range_ratio,OR_range_compression,OR_to_AND_pooled_sd_ratio,OR_to_AND_range_over_sd_ratio
50,0.9466416666666666,0.9283374999999999,0.6950249999999999,11.645402328685117,4.348346965524858,2.6781216910733536,2.039965825959957,0.697544018629708,0.6593583333333334,0.8430749999999999,0.5589375,5.975178747611798,4.111965665031948,1.4531198055529906,1.397858986638134,0.25965842424076085,0.2872833333333332,0.5130933718703435,0.48690662812965646,0.9456388134693439,0.5425891625449628
51,0.9462416666666666,0.9263125,0.7002999999999999,10.762035735805426,4.019436705351404,2.6774984966119884,2.012864079825238,0.7171786067108199,0.6469416666666666,0.815025,0.5509124999999999,5.145987919625801,3.8959421167443864,1.320858412528471,1.2404842715344973,0.24245153277156015,0.2993,0.4781611997909499,0.5218388002090502,0.9692756478929998,0.4933180781239797
52,0.945025,0.9251125,0.6906125,10.78589688653994,4.189367084090138,2.5745886359544117,1.9723312764967629,0.6846859897088746,0.6721916666666667,0.8269624999999999,0.5714250000000001,5.824333539169361,3.947409452650779,1.4754824927670431,1.3171647366411676,0.3081364663691166,0.27283333333333326,0.5399952920408251,0.4600047079591749,0.9422448244370286,0.5730944633879638
53,0.9395083333333334,0.9207875,0.6782125000000001,11.00226399003537,4.375468558222698,2.5145338936007477,1.9675349210056847,0.6474972975757958,0.6679666666666666,0.7983875,0.57965,5.978902028196047,4.333359655160861,1.3797382409917,1.231237364521084,0.3013408910074964,0.2715416666666668,0.5434247018260127,0.45657529817398734,0.9903761385777295,0.5487053662322883
54,0.95505,0.9379375,0.7020875,10.747457603182808,3.859248969327841,2.7848572840468164,2.134900970478566,0.7339556253381658,0.6621583333333334,0.832775,0.5586,5.611142619442667,3.9356917051855276,1.4257068489510052,1.3381749661923925,0.25679600126662133,0.29289166666666655,0.5220902306961374,0.47790976930386264,1.0198076715094648,0.5119496992245286
55,0.9341083333333334,0.9148375,0.6655,10.51854072747739,4.286290246379687,2.453996375154862,1.9228414989458573,0.5927387412605615,0.6572500000000001,0.8250125000000001,0.56275,5.84282220218993,4.153615505828326,1.4066834530040924,1.2934244402852848,0.2894517695059305,0.2768583333333333,0.5554784027148207,0.44452159728517926,0.9690467203747061,0.5732214877111717
56,0.9473833333333332,0.9268624999999999,0.6859249999999999,11.246538776743986,4.248059029755282,2.6474535071118974,2.04236679722801,0.6805929304200551,0.6851833333333333,0.849225,0.5867749999999999,6.444308412883817,4.087436663296118,1.5766136441334146,1.4380453914184745,0.3449852122703095,0.2622,0.5730037072569918,0.4269962927430082,0.9621892338750252,0.595520805142803
57,0.9611833333333334,0.9453875,0.7061999999999999,10.871694354122926,3.6545359546797838,2.974849471709609,2.2593827362881833,0.7356580623007752,0.6522,0.8341125,0.5450125,5.15535364742447,3.733570473048721,1.38081058992701,1.3090616605720289,0.23391059769608125,0.3089833333333334,0.47419964906108497,0.5258003509389151,1.0216264169648488,0.4641614989458527
58,0.9427750000000001,0.9222,0.6711,10.714268882163777,4.252912476446896,2.519278010422409,1.9955472778368148,0.6073073575381703,0.6831583333333333,0.8259375,0.5893875,6.199387061644766,4.087962109668764,1.5164981708079202,1.3338831881543682,0.3313867798869632,0.25961666666666683,0.5786103680826034,0.42138963191739665,0.9612147280971226,0.6019574515135183
59,0.9385166666666667,0.916825,0.6835125,10.66211104927556,4.23157121583345,2.5196577123364214,1.92534059225603,0.667864079846423,0.6898583333333334,0.8249249999999999,0.5927375,6.5667678334656205,4.301747412986731,1.5265349642893773,1.3328331485919882,0.33524106080520283,0.24865833333333331,0.6158975275268589,0.3841024724731411,1.01658395748858,0.605850134649383
60,0.9504083333333334,0.9337500000000001,0.682825,10.435142331622394,3.8659374365985615,2.6992527692853034,2.127389864856881,0.6710844833927656,0.6879833333333334,0.8397374999999999,0.5887624999999999,6.147920485412804,3.8958608087343287,1.5780647172069053,1.3666662158223277,0.3616841393887077,0.262425,0.5891554029677487,0.4108445970322513,1.0077402629055723,0.5846302114287498
61,0.9447,0.9259124999999999,0.6798500000000001,10.934591127276732,4.263664793744983,2.5645991550082323,2.0011921463316913,0.6359673175693574,0.6904,0.8394375000000001,0.5967749999999999,6.7058929902666735,4.233674426761184,1.5839415869766746,1.3925460673850856,0.36748624915447303,0.25429999999999997,0.6132733187927422,0.38672668120725784,0.9929660589106827,0.6176176046395018
62,0.9565333333333333,0.941375,0.6945375,11.486321111869795,4.051589838144477,2.83501577670316,2.198409955043586,0.7055576891799543,0.6977666666666666,0.8555375000000001,0.5912875,6.583290584401257,4.039808125229917,1.6296047684261201,1.4500061096213204,0.3710033060810819,0.2587666666666667,0.5731417849356641,0.42685821506433586,0.9970920765957997,0.5748132979778997
63,0.9400250000000001,0.9191125,0.6865000000000001,10.56105462134221,4.159807203457927,2.538832716228558,1.9423218122319554,0.6675468482883578,0.6676,0.806975,0.57215,5.3242959215993935,3.96178783335271,1.3439124318511637,1.188467945099441,0.2903180429661554,0.27242500000000014,0.5041443409297248,0.4958556590702752,0.9523969837014059,0.5293426476115168
64,0.9436583333333333,0.925625,0.6629,10.44863508249333,4.205442209731888,2.4845508656174036,1.9869449572924187,0.5822986441854606,0.6698000000000001,0.8372999999999999,0.5757249999999999,6.416548673772896,4.249997006377205,1.5097772219944479,1.4069070149024696,0.2911602315287733,0.2738583333333332,0.614104007184997,0.385895992815003,1.0105945568678156,0.607666054612761
65,0.9298166666666667,0.9056124999999999,0.6766749999999999,10.468159055534983,4.383205736945844,2.388242688975181,1.8162441558186666,0.6350408160752428,0.6752166666666667,0.8208125,0.5878625,6.416481428220627,4.323575980401185,1.4840681549963743,1.3141119804132912,0.32971177938973917,0.25460000000000005,0.6129522291532193,0.38704777084678066,0.9863958572507691,0.6214059240492025
66,0.9351416666666666,0.9163875,0.6679125,11.07499283004906,4.447801256236513,2.489992738439063,1.9695953083944338,0.6153196621729393,0.687975,0.8267875,0.59605,6.409992306863655,4.165385832146406,1.538871203093475,1.3200209045717082,0.371342025633365,0.24716666666666665,0.5787807184372922,0.4212192815627078,0.936504486639524,0.618022365823512
67,0.9428583333333334,0.9216125,0.6871,10.789457591335234,4.198931566003086,2.569572145136338,1.9601687908533687,0.6837711778705572,0.6762583333333333,0.8258,0.5833,6.073836491497568,4.09808787095761,1.4821147527220495,1.315456172073514,0.32132026078818937,0.26660000000000006,0.5629417827616586,0.4370582172383414,0.9759834868798616,0.5767943723733862
68,0.9449916666666667,0.9275249999999999,0.6823250000000001,10.928580863103528,4.178742175185541,2.615280006505375,2.032100240161893,0.6461617991672378,0.6822666666666666,0.840475,0.5837749999999999,6.0366182722701485,4.003939470461305,1.5076697129926024,1.3665870996285543,0.32098805172307765,0.2627250000000001,0.5523698225677816,0.44763017743221845,0.9581685834167373,0.5764850070517693
69,0.9581333333333334,0.9409375,0.7040625,10.979708163518112,3.9046076122987694,2.811987593563595,2.1355418962275867,0.7314939478852034,0.6656666666666666,0.8305375,0.5627625,5.787886219354022,4.083903838511119,1.417243512145019,1.343476860207069,0.2510305891845587,0.29246666666666676,0.5271439033858137,0.47285609661418626,1.0459191406705248,0.5040006276659866
70,0.9439416666666667,0.92715,0.67135,10.964277172088597,4.353409419139466,2.5185495129139253,1.9967407127152907,0.6169688013845969,0.6961666666666666,0.8409000000000001,0.601125,7.011275830555587,4.2499525773936755,1.6497303682516193,1.4303954326031925,0.3771071814744592,0.24777500000000008,0.6394653948008505,0.3605346051991495,0.9762354440427886,0.6550319379438784
