layer,atomic_heldout_auroc,and_truth_auroc,and_TT_vs_mixed_auroc,and_mixed_vs_FF_auroc,and_TT_vs_FF_auroc,and_TF_vs_FT_auroc,and_dprime_TT_mixed,and_dprime_mixed_FF,and_mu_TT,and_mu_mixed,and_mu_FF,and_upper_gap,and_lower_gap,and_total_range,and_upper_gap_fraction,and_lower_gap_fraction,and_Delta_norm,and_pooled_sd,and_range_over_sd,or_truth_auroc,or_TT_vs_mixed_auroc,or_mixed_vs_FF_auroc,or_TT_vs_FF_auroc,or_TF_vs_FT_auroc,or_dprime_TT_mixed,or_dprime_mixed_FF,or_mu_TT,or_mu_mixed,or_mu_FF,or_upper_gap,or_lower_gap,or_total_range,or_upper_gap_fraction,or_lower_gap_fraction,or_Delta_norm,or_pooled_sd,or_range_over_sd,and_minus_or_auroc_gap,OR_to_AND_range_ratio,OR_range_compression,OR_to_AND_pooled_sd_ratio,OR_to_AND_range_over_sd_ratio
10,0.9966254176782432,0.6742333333333334,0.6472125,0.5909,0.728275,0.479025,0.5084681048772627,0.24065044522150295,1.2654228914373054,0.22791187768255525,-0.2894700721216612,1.03751101375475,0.5173819498042165,1.5548929635589666,0.6672555848346048,0.3327444151653952,0.3345111696692096,2.0960117949429806,0.7418340714066761,0.524825,0.5389999999999999,0.5136375,0.5472,0.448025,0.10224588002426628,0.032303858608865525,0.3200364953302839,0.15232652473948693,0.09545062614493313,0.16770997059079695,0.0568758985945538,0.22458586918535076,0.74675210510411,0.25324789489588995,0.49350421020822005,1.7015389342719007,0.131989850283063,0.14940833333333337,0.14443815391080053,0.8555618460891995,0.8117983583762175,0.17792368316648224
11,0.9976237930157935,0.8756333333333333,0.8355875,0.7295750000000001,0.955725,0.47147500000000003,1.3360579970087993,0.7780025844495193,0.5601277659112428,-1.8844528677378583,-3.4028588805639903,2.444580633649101,1.518406012826132,3.9629866464752332,0.6168531089609813,0.38314689103901867,0.23370621792196267,1.891931463609224,2.0946776998544507,0.6792916666666666,0.693975,0.621475,0.794925,0.47324999999999995,0.6926238170148714,0.4156293075477165,-0.928814367565532,-2.294303645768501,-3.191531440137876,1.365489278202969,0.8972277943693747,2.262717072572344,0.603473273240754,0.39652672675924594,0.206946546481508,2.067287731231341,1.0945341755714861,0.19634166666666664,0.5709625780810677,0.42903742191893235,1.0926863742133615,0.5225310679764912
12,0.9983200769227936,0.8922999999999999,0.85415,0.7577625,0.9686,0.48460000000000003,1.5042436568163053,0.9690376518345895,2.0817559986483927,-1.4393561733751783,-3.7825728829698835,3.521112172023571,2.343216709594705,5.864328881618276,0.6004288373151254,0.3995711626848747,0.20085767463025073,2.380013890828643,2.4639893507413557,0.6942583333333333,0.7245125,0.6338375,0.8151,0.4870000000000001,0.7884091996131934,0.44922312844222745,2.2348363715970034,0.5220001500829653,-0.6220593197182168,1.712836221514038,1.1440594698011821,2.8568956913152204,0.5995445429530207,0.40045545704697916,0.19908908590604157,2.367133409786006,1.2069010050318583,0.19804166666666656,0.4871649849431455,0.5128350150568546,0.9945880647620287,0.48981583652897304
13,0.9983458652156454,0.9047083333333333,0.8679625000000001,0.7591874999999999,0.9782,0.49417500000000003,1.5735774361404837,1.0067295445861126,3.409523232659246,-0.260512164245878,-2.989233226163055,3.6700353969051243,2.728721061917177,6.398756458822302,0.5735544742986824,0.42644552570131744,0.147108948597365,2.528794898024434,2.5303580230334974,0.7163999999999999,0.7238,0.6544375,0.840325,0.5071,0.8103121896248714,0.5663270613083085,3.4454455587690838,1.2235767305698102,-0.42196132660906654,2.2218688281992733,1.6455380571788767,3.8674068853781502,0.5745112666059758,0.42548873339402404,0.14902253321195186,2.825086718479937,1.368951565302407,0.1883083333333334,0.6043997627141995,0.3956002372858005,1.1171672011387617,0.5410110161649185
14,0.9981579790820104,0.9132916666666667,0.8806249999999999,0.7761374999999999,0.978625,0.48919999999999997,1.582396921173727,1.018841511563501,2.407607289275222,-1.0613233063311125,-3.677718127558982,3.4689305956063343,2.6163948212278694,6.085325416834204,0.5700484950254299,0.4299515049745702,0.14009699005085968,2.387862129475912,2.5484408591754883,0.7702916666666666,0.78715,0.70325,0.904375,0.5123,1.0830303754011539,0.7313995623588078,1.3776506353410003,-1.3178713586394855,-3.2081674359572845,2.6955219939804858,1.890296077317799,4.585818071298284,0.587795231313518,0.41220476868648215,0.1755904626270358,2.537248479035258,1.8073980964773135,0.14300000000000013,0.7535863338733305,0.24641366612666948,1.062560709730814,0.7092172023415413
15,0.9985079630564285,0.9153416666666667,0.8832,0.79545,0.979625,0.476475,1.6043083378396614,1.1150655340049371,3.761053139924648,0.48504602371414873,-2.202216152791413,3.276007116210499,2.6872621765055618,5.963269292716061,0.5493642757693393,0.4506357242306607,0.09872855153867861,2.233881693714278,2.6694651330442327,0.7819333333333334,0.8173874999999999,0.7056625,0.9344750000000001,0.5097,1.2924738854319604,0.7669432299888398,4.288375276486216,1.464074132208172,-0.3466876172675826,2.8243011442780444,1.8107617494757546,4.635062893753799,0.6093339419588171,0.3906660580411828,0.21866788391763425,2.274930338368534,2.037452670782805,0.13340833333333335,0.7772687541405144,0.22273124585948556,1.0183754783298324,0.7632437845177297
16,0.9987437417339311,0.8663333333333334,0.8101875000000001,0.7953124999999999,0.978625,0.49010000000000004,1.2171207490500326,1.1164974011222657,6.147457819638148,3.300273789647236,0.06237795855337763,2.847184029990912,3.237895831093858,6.08507986108477,0.46789591837556466,0.5321040816244353,-0.06420816324887067,2.6349625494085034,2.309361042892526,0.7826583333333332,0.777425,0.7117374999999999,0.9245,0.5098,1.0956126577367569,0.7452309141788491,5.052448497909932,2.4509492166676945,0.5869164631653535,2.6014992812422375,1.8640327535023409,4.465532034744578,0.5825731986694928,0.41742680133050725,0.1651463973389855,2.438875131720067,1.8309801828989782,0.08367500000000017,0.7338493720193379,0.26615062798066214,0.9255824650211997,0.792851420324314
17,0.9992226671726084,0.8562916666666667,0.803,0.7767625,0.9628749999999999,0.501075,1.1378194163887747,0.9190756154975022,6.9018822898772445,3.973411184048508,1.1519034892793696,2.9284711058287365,2.8215076947691387,5.749978800597875,0.5093012004712502,0.49069879952874995,0.01860240094250016,2.833128271189541,2.0295511710748064,0.7756833333333333,0.8019624999999999,0.698975,0.9291,0.5281,1.2336805985587844,0.7396883866133831,4.206476935396456,1.2692465502309005,-0.6875070853748229,2.937230385165555,1.9567536356057234,4.893984020771279,0.6001716337240217,0.39982836627597823,0.20034326744804354,2.5168296528325587,1.9445034809023958,0.08060833333333339,0.8511307937800412,0.1488692062199588,0.8883571133811818,0.9580953210815714
18,0.999296348009328,0.9447083333333333,0.9225125000000001,0.7694750000000001,0.9891000000000001,0.5140750000000001,2.0647548661354707,1.0283118654733248,9.675931590611581,3.0666748008177747,-1.1298266092292821,6.609256789793807,4.196501410047057,10.805758199840863,0.6116421140990497,0.38835788590095044,0.22328422819809923,3.668004081356393,2.945950429762062,0.8313333333333333,0.9247125,0.751075,0.99185,0.525725,1.976071109646502,0.9752626029923831,6.845674580004238,1.04489345201258,-2.410903141482866,5.800781127991658,3.455796593495446,9.256577721487105,0.6266658480624457,0.3733341519375542,0.25333169612489154,3.2541293215743976,2.8445635703895844,0.113375,0.8566338011916116,0.1433661988083884,0.8871662215738461,0.965584329475406
19,0.9994179213899153,0.9336166666666665,0.9094375000000001,0.7694999999999999,0.9819749999999999,0.520675,1.9597401206948248,1.0043332662657642,8.795306910268106,1.9958843297175417,-1.9663301703015157,6.799422580550565,3.9622145000190576,10.761637080569622,0.6318204683585804,0.3681795316414196,0.2636409367171608,3.715499542165982,2.8964172807557484,0.8250083333333333,0.9249,0.7452124999999998,0.9845999999999999,0.522825,2.0004166546447713,0.9288794963619943,3.967288678991796,-1.4315029996561963,-4.432246385765395,5.398791678647992,3.0007433861091988,8.399535064757192,0.6427488708631347,0.3572511291368652,0.2854977417262695,2.976856331097267,2.8216125101546736,0.1086083333333332,0.7805071850938684,0.2194928149061316,0.8011994880671909,0.9741733447393477
20,0.9993737128878836,0.9147583333333332,0.885425,0.7467250000000002,0.973425,0.51505,1.72564416818045,0.9198252717964178,8.410063303879157,2.212707664720006,-1.3518894022188703,6.197355639159151,3.5645970669388767,9.761952706098027,0.6348479475103205,0.3651520524896796,0.2696958950206409,3.736537728377176,2.6125663423550556,0.7684916666666668,0.8773624999999999,0.6726624999999999,0.9601500000000001,0.521325,1.618203665821375,0.6392975500205795,3.7408215597037757,-0.8672159054532987,-3.0051309203077325,4.608037465157074,2.1379150148544337,6.745952480011509,0.6830818151789312,0.31691818482106865,0.3661636303578626,3.1061942234186506,2.1717742017390567,0.14626666666666643,0.6910453966651052,0.3089546033348948,0.8313027859530562,0.8312800201587784
21,0.9995505468960105,0.9498666666666666,0.9307874999999999,0.7297375,0.9880249999999999,0.502575,2.137075429673041,0.8542797518233994,10.31336281389854,3.001982444400481,-0.42249497393714774,7.311380369498059,3.4244774183376285,10.735857787835688,0.6810243311700953,0.3189756688299046,0.36204866234019073,3.7271213375665058,2.8804690847133227,0.719575,0.8545125,0.617775,0.923175,0.50795,1.4639534538129937,0.44033020150365043,5.0547429695876085,0.4797017963232172,-1.390799587006901,4.575041173264391,1.8705013833301183,6.44554255659451,0.7097992346018432,0.29020076539815665,0.4195984692036866,3.729391214633687,1.7283095780627595,0.23029166666666667,0.6003751804441431,0.39962481955585694,1.000609016144525,0.6000097648105008
22,0.9995542309378465,0.9458666666666667,0.9275375,0.6816,0.9825250000000001,0.500525,2.031741492684274,0.6497891435873585,9.905469324266564,1.9033432100810648,-0.9335218843946665,8.002126114185499,2.836865094475731,10.83899120866123,0.7382722211077313,0.2617277788922687,0.47654444221546244,4.1581938511682335,2.606658466780245,0.6790833333333334,0.8336,0.580275,0.8767,0.50465,1.356178307914295,0.31835275825377235,4.988353412596341,0.29098930765966236,-1.181758316262888,4.697364104936678,1.4727476239225503,6.170111728859229,0.7613094075697001,0.23869059243029972,0.5226188151394004,4.086784295085022,1.5097718116123047,0.2667833333333334,0.5692514746140592,0.4307485253859408,0.9828267852247559,0.579198169170655
23,0.9995431788123386,0.9235833333333333,0.8979750000000001,0.6639875,0.9748000000000001,0.49255000000000015,1.8027607040447886,0.6015332372278823,11.585472507783875,3.4008348910862964,0.5636917573057206,8.184637616697579,2.8371431337805757,11.021780750478154,0.7425875910607737,0.25741240893922634,0.48517518212154737,4.629751379553379,2.380642036018228,0.6731833333333334,0.848975,0.5688875,0.881775,0.5042249999999999,1.4520658616026945,0.2609207005075778,5.531018584656254,0.23891935883815507,-0.9347742257066055,5.292099225818099,1.1736935845447607,6.465792810362859,0.818476462366122,0.18152353763387807,0.6369529247322439,4.093984574274676,1.5793398077247012,0.25039999999999996,0.5866377636011636,0.4133622363988364,0.8842774133304784,0.6634091912307175
24,0.9993995011807355,0.9104333333333334,0.8856124999999999,0.6261125,0.960075,0.49779999999999996,1.7742859481694238,0.4711504309307763,12.88317652116269,3.515459484931424,1.0056808874613938,9.367717036231266,2.5097785974700297,11.877495633701297,0.7886946310172688,0.21130536898273106,0.5773892620345378,5.304191429965245,2.2392660201894565,0.6887583333333334,0.7926000000000001,0.5992500000000001,0.8677750000000001,0.505475,1.1939093494851714,0.34165351154940077,7.3322722386062535,1.8920177492702321,0.06355467717773783,5.440254489336022,1.8284630720924944,7.268717561428516,0.7484476378893518,0.2515523621106483,0.4968952757787035,4.970659950094215,1.4623244467348329,0.22167500000000007,0.611973919889661,0.388026080110339,0.9371192604424506,0.6530373941954027
25,0.9992631916328041,0.908325,0.8817625,0.6261125000000001,0.96145,0.498925,1.7329882626119315,0.4780642770944978,12.059775425439398,2.960200559356804,0.44382306219087836,9.099574866082595,2.5163774971659256,11.61595236324852,0.783368817426676,0.21663118257332412,0.5667376348533518,5.258021347899556,2.2091869915835916,0.704,0.7974125,0.6208625,0.870275,0.519075,1.1860927297080999,0.41816759754065175,7.647502410431197,2.0305391498023084,-0.41666991913486595,5.616963260628888,2.447209068937174,8.064172329566063,0.6965331383154035,0.3034668616845964,0.3930662766308071,5.323717289849721,1.514763442630835,0.2043250000000001,0.694232558587287,0.30576744141271295,1.0124944228262613,0.6856655631242065
26,0.9988616310726824,0.9313250000000001,0.9096874999999999,0.640725,0.9745999999999999,0.5016250000000001,1.9482233767175166,0.5353384590539528,14.531010547830922,3.9842322280095948,0.784438045881403,10.546778319821328,3.199794182128192,13.746572501949519,0.7672296725838822,0.23277032741611786,0.5344593451677644,5.703146852753748,2.410348682379102,0.7012916666666666,0.811175,0.615425,0.8730249999999999,0.51515,1.248788110893907,0.3844588910359312,7.7211429187230705,1.2803679881879209,-0.9081023049670119,6.44077493053515,2.188470293154933,8.629245223690083,0.7463891410633609,0.2536108589366392,0.49277828212672165,5.431620901191564,1.5887053571424763,0.23003333333333342,0.6277379486753004,0.3722620513246996,0.9523901525644428,0.6591184788975702
27,0.9990642533736612,0.8944250000000001,0.8637874999999999,0.6329625,0.9557,0.497125,1.5610795778100641,0.506227615319724,13.358068661563575,3.3763872317258796,-0.04120503837994594,9.981681429837696,3.4175922701058257,13.399273699943521,0.7449419762117233,0.25505802378827674,0.48988395242344657,6.575865382563831,2.0376441609453,0.6631583333333333,0.8140625,0.5735375,0.8424,0.498775,1.2541451131068222,0.2615124791865465,5.079171716771482,-1.4279315232598098,-3.0922969039062984,6.507103240031292,1.6643653806464886,8.17146862067778,0.796319920211792,0.20368007978820804,0.5926398404235839,5.806498015839853,1.4072972380919442,0.23126666666666684,0.6098441455608317,0.39015585443916834,0.8830013508542943,0.690649164886117
